unique_id,BuildNET ID,association_badges,State,Photo,District,Category,Sub Category,Name,Website,phone_number,Address,Location,Area,Pin Code,Rating Count,Review,Map Link,TAGS,PRODUCTS ,Email Id,PlusCode,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder
,,,,,Alappuzha,TMT,Building materials store,Kadakampally Agencies,,094477 73889,"P O, Kadakampally Agencies Charamangalam Muhamma, Alappuzha, Kerala 688525",Alappuzha,Kanjikkuzhi,688525,48,4.6,16196223968314042944,,,,,,,,,,,
,,,,,Alappuzha,TMT,Iron and steel store,Nandanam Steels And Sanitaries Gurupuram,,095394 42309,"Ward-4, Komalapuram, Aaryad, Alappuzha, Kerala 688006",Alappuzha,Kerala,688006,47,4,16426546007257889990,,,,,,,,,,,
,,,,,Alappuzha,TMT,Iron and steel store,Khadeeja Traders Alapuzha,,094968 28404,"Valiyamaram/ Stadium Vellakinar, Ward Rd, Kerala 688001",Alappuzha,Kerala,688001,67,4.7,6409348986814726405,,,,,,,,,,,
,,,,,Alappuzha,TMT,Building materials supplier,Kalliyath TMT | Best TMT Steel Bars in Kerala,http://www.kcare.in/,0484 234 4343,"34/1864, Kalliyath Building, Mamangalam, Kochi, Kerala 682025",Kochi,Ernakulam,682025,57,4.8,5140034856910418082,,,,,,,,,,,
,,,,,Alappuzha,TMT,Steel industry,METCON TMT,https://www.metconindia.com/,094470 65360,"IInd Floor Ebenezer Garden Building Edappally High School Junction, Kochi, Kerala 682024",Kochi,Ernakulam,682024,1595,4.9,5831840525370739147,,,,,,,,,,,
,,,,,Alappuzha,TMT,Hardware store,Sunitha Steel,,094963 15538,"East of Gandhi Junction, Kalarcode, Kaithavana, Alappuzha, Paravur, Kerala 688003",Alappuzha,Paravur,688003,7,4.4,11516183019949866588,,,,,,,,,,,
,,,,,Alappuzha,TMT,Pipe supplier,K.H Metals,,081295 95096,"Kaichoondi, Alappuzha, Kerala 688006",Alappuzha,Kerala,688006,26,4.7,3566588557378669107,,,,,,,,,,,
,,,,,Alappuzha,TMT,Iron and steel store,LEENA TRADERS,,094970 82630,"Valiyamaram Ward, Vellakkinar, Alappuzha, Kerala 688001",Alappuzha,Kerala,688001,10,4.1,5621055900680349071,,,,,,,,,,,
,,,,,Alappuzha,TMT,Steel industry,Bharathi TMT,http://www.bharathitmt.com/,085899 44435,"Kalliyath Building, beside Westleys Resto Cafe, 34/1864, Mamangalam, Kochi, Kerala 682025",Kochi,Ernakulam,682025,31,4.9,15968643864200223907,,,,,,,,,,,
,,,,,Alappuzha,TMT,Cement supplier,Makkah Traders,,097469 08010,"PVSIS Building, NH 66, Kuravanthodu, Punnapra, Alappuzha, Kerala 688004",Alappuzha,Kerala,688004,49,3.9,9381656767859414363,,,,,,,,,,,
,,,,,Alappuzha,TMT,Building materials supplier,Vadhyar Agencies,,,"M8QR%2B83F, Private Bus Stand Road, Pullurithakary, Cherthala, Kerala 688524",Cherthala,Kerala,688524,5,5,7351479376035661474,,,,,,,,,,,
